pl/sql,0.04,1,25
scala,0.0816326530612,24,294
visual basic .net, 0.0833333333333,3,36
free pascal,0.125,1,8
unix shell,0.133223684211,81,608
groovy,0.153846153846,4,26
objective c,0.165714285714,29,175
actionscript,0.166666666667,2,12
scheme,0.176470588235,9,51
perl,0.179749715586,158,879
java,0.181369524985,588,3242
xsl (xslt/xpath/xsl-fo),0.183908045977,16,87
flex,0.1875,3,16
forth,0.2,2,10
xbase/clipper,0.222222222222,2,9
emacs-lisp,0.222222222222,8,36
javascript,0.233062330623,86,369
ruby,0.240740740741,13,54
tcl,0.262295081967,32,122
c,0.265114196149,592,2233
python,0.287430683919,311,1082
c#,0.299003322259,90,301
c++,0.300713153724,759,2524
php,0.30303030303,200,660
fortran,0.303797468354,48,158
zope,0.323943661972,23,71
assembly,0.327868852459,40,122
jsp,0.333333333333,34,102
object pascal,0.380952380952,8,21
delphi/kylix,0.388888888889,7,18
lua,0.397260273973,29,73
matlab,0.448275862069,26,58
lisp,0.481481481481,13,27
pascal,0.583333333333,7,12
glsl (opengl shading language),0.666666666667,4,6
boo,1.0,5,5
